Station,Date,Calday,Year,Month,Season,Latitude,Longitude,Zone,Frame,Vis,FOV.Bias,Habitat,Depth,Time.In,Time.Out,Total.bott,Time.secs.,Algae,Pebble,Gravel,Sand,Mud,Seagrass,mean_velocity,dist,site_heterogeneity
SA.F1.270814.C2.8,27/08/2014,239,2014,August,Late,55.5008,-5.081966667,2,1,3,3,Algae,8.4,10:55,12:00,01:05,3900,0.51,0.04,0.14,0,0,0,0.087483756,216.0438093,3
SA.F1.280714.C3.12,28/07/2014,209,2014,July,Early,55.42725,-5.153133333,3,1,1,2,Sand,28.6,14:32,15:36,01:04,3840,0,0.04,0.05,0.42,0,0,0.15519613,1312.350973,3
SA.F1.280714.C4.1,28/07/2014,209,2014,July,Early,55.42908333,-5.1771,4,1,3,2,Gravel,16.6,09:57,10:59,01:02,3720,0,0.18,0.47,0,0,0,0.179690033,558.7190956,2
SA.F1.280714.C4.6,28/07/2014,209,2014,July,Early,55.4263,-5.2224,4,1,2,2,Gravel,26,11:34,12:36,01:02,3720,0,0.12,0.46,0.06,0,0,0.128838167,1054.849822,3
SA.F1.280714.C4.7,28/07/2014,209,2014,July,Early,55.42493333,-5.179583333,4,1,1,1,Sand,29.2,12:56,13:56,01:00,3600,0,0.08,0,0.38,0,0,0.185587838,1012.426153,2
SA.F1.290714.C2.1,29/07/2014,210,2014,July,Early,55.5001,-5.085516667,2,1,2,3,Sand,4.2,08:54,10:01,01:07,4020,0.07,0,0,0.66,0,0,0.069139525,130.1570875,2
SA.F1.290714.C2.10,29/07/2014,210,2014,July,Early,55.50348333,-5.06735,2,1,1,3,Pebble,22.9,13:20,14:23,01:03,3780,0.02,0.36,0,0.29,0,0,0.102144115,796.3569671,3
SA.F1.290714.C2.6,29/07/2014,210,2014,July,Early,55.4721,-5.081616667,2,1,3,3,Sand,5.4,10:34,11:46,01:12,4320,0.05,0,0,0.49,0,0.37,0.058231048,186.9893154,3
SA.F1.290714.C2.7,29/07/2014,210,2014,July,Early,55.50385,-5.0651,2,1,2,2,Gravel,22.5,12:09,13:10,01:01,3660,0.05,0.08,0.28,0,0,0,0.102144115,801.1723735,3
SA.F1.300614.C4.1,30/06/2014,181,2014,June,Early,55.41575,-5.227416667,4,1,1,1,Mud,42,10:43,11:53,01:10:00,4200,0,0,0,0,0.45,0,0.134670824,2268.306606,1
SA.F1.300614.C4.4,30/06/2014,181,2014,June,Early,55.4173,-5.2278,4,1,1,1,Mud,40,12:06,13:08,01:02:00,3720,0,0,0,0,0.29,0,0.134670824,2112.980195,1
SA.F1.310714.C2.11,31/07/2014,212,2014,July,Early,55.4741,-5.080483333,2,1,1,2,Sand,24.6,13:37,14:42,01:05,3900,0.06,0,0,0.55,0,0,0.062845051,303.1473911,2
SA.F1.310714.C3.3,31/07/2014,212,2014,July,Early,55.44411667,-5.08135,3,1,1,2,Mud,42.2,09:27,10:34,01:07,4020,0,0,0,0,0.49,0,0.172684848,927.5371948,1
SA.F1.310714.C3.4,31/07/2014,212,2014,July,Early,55.4503,-5.086283333,3,1,3,2,Algae,10.8,10:44,11:50,01:06,3960,0.45,0,0.15,0,0,0,0.12559998,176.6926532,2
SA.F1.310714.C3.7,31/07/2014,212,2014,July,Early,55.45135,-5.085183333,3,1,2,2,Algae,13.9,11:59,13:05,01:06,3960,0.36,0.05,0.26,0,0,0,0.12559998,111.7812349,3
SA.F2.010714.C3.1,01/07/2014,182,2014,July,Early,55.41806667,-5.146966667,3,2,1,2,Gravel,29.7,09:44,10:48,01:04:00,3840,0.18,0.04,0.19,0.14,0,0,0.210267857,1755.454399,4
SA.F2.010714.C3.12,01/07/2014,182,2014,July,Early,55.44106667,-5.094783333,3,2,2,2,Gravel,17.4,14:44,15:46,01:02:00,3720,0.17,0.08,0.41,0,0,0,0.171923682,385.6555354,3
SA.F2.010714.C3.4,01/07/2014,182,2014,July,Early,55.41801667,-5.155333333,3,2,2,2,Gravel,30,11:02,12:08,01:06:00,3960,0,0.21,0.32,0,0,0,0.191098556,2149.632055,2
SA.F2.010714.C3.9,01/07/2014,182,2014,July,Early,55.43581667,-5.103616667,3,2,3,2,Pebble,13.2,13:06,14:32,01:26:00,5160,0.1,0.34,0.31,0,0,0,0.180886671,522.873541,3
SA.F2.010814.C1.1,01/08/2014,213,2014,August,Late,55.55403333,-5.075283333,1,2,1,1,Mud,42.2,08:09,09:11,01:02,3720,0,0,0,0,0.49,0,0.125315458,459.6253519,1
SA.F2.010814.C1.10,01/08/2014,213,2014,August,Late,55.5361,-5.07335,1,1,1,2,Algae,7.2,12:35,13:46,01:11,4260,0.56,0,0.07,0,0,0,0.098394267,143.5203938,2
SA.F2.010814.C1.4,01/08/2014,213,2014,August,Late,55.54223333,-5.097283333,1,2,1,2,Sand,15.7,09:38,10:42,01:04,3840,0,0.07,0.23,0.42,0,0,0.078168109,263.0811015,3
SA.F2.010814.C1.7,01/08/2014,213,2014,August,Late,55.5434,-5.070633333,1,2,1,1,Mud,33,11:06,12:08,01:02,3720,0,0,0,0,0.43,0,0.117254458,835.3122671,1
SA.F2.010914.C4.10,01/09/2014,244,2014,September,Late,55.4266,-5.1487,3,2,1,3,Sand,29.1,14:17,15:19,01:02,3720,0,0,0.09,0.41,0,0,0.173674613,1546.068867,2
SA.F2.010914.C4.2,01/09/2014,244,2014,September,Late,55.43028333,-5.210616667,4,2,2,3,Algae,11.4,10:01,11:06,01:05,3900,0.81,0,0,0,0,0,0.120441161,435.8016647,1
SA.F2.010914.C4.5,01/09/2014,244,2014,September,Late,55.42875,-5.183466667,4,2,2,3,Algae,16.8,11:25,12:36,01:11,4260,0.26,0.18,0.12,0,0,0,0.184244677,576.3823734,3
SA.F2.010914.C4.9,01/09/2014,244,2014,September,Late,55.41513333,-5.19025,4,2,1,1,Mud,42.2,12:55,14:01,01:06,3960,0,0,0,0,0.45,0,0.171209648,2072.327419,1
SA.F2.020914.C3.12,02/09/2014,245,2014,September,Late,55.45726667,-5.076866667,2,2,3,3,Sand,15.3,12:27,13:32,01:05,3900,0.07,0.21,0.12,0.23,0,0,0.139857739,295.0988204,4
SA.F2.020914.C3.3,02/09/2014,245,2014,September,Late,55.4378,-5.10685,3,2,1,3,Algae,6.2,08:17,09:26,01:09,4140,0.91,0,0,0,0,0,0.185098171,283.3095963,1
